COG0720	4.1.2.50
COG0721	6.3.5.6
COG0721	6.3.5.7
COG0722	2.5.1.54
COG0723	1.10.2.2
COG0724	5.2.1.8
COG0729	3.4.21.-
COG0732	3.1.21.3
COG0735	1.11.1.6
COG0736	2.7.8.7
COG0738	3.2.1.52
COG0739	3.4.24.-
COG0740	3.4.21.92
COG0741	3.2.1.-
COG0742	2.1.1.171
COG0743	1.1.1.267
COG0745	3.1.1.61
COG0746	2.7.7.77
COG0747	3.1.3.2
COG0747	3.1.3.26
COG0749	2.7.7.7
COG0750	3.4.24.-
COG0751	6.1.1.14
COG0752	6.1.1.14
COG0753	1.11.1.6
COG0754	6.3.1.8
COG0756	3.6.1.23
COG0757	4.2.1.10
COG0758	5.99.1.2
COG0759	3.1.26.5
COG0760	5.2.1.8
COG0761	1.17.1.2
COG0763	2.4.1.182
COG0764	4.2.1.59
COG0765	3.6.3.-
COG0766	2.5.1.7
COG0768	2.4.1.129
COG0769	6.3.2.13
COG0770	6.3.2.10
COG0771	6.3.2.9
COG0772	2.4.1.129
COG0773	6.3.2.8
COG0774	3.5.1.108
COG0775	3.2.2.9
COG0776	3.6.1.40
COG0776	3.6.1.11
COG0777	6.4.1.2
COG0780	1.7.1.13
COG0784	2.7.13.3
COG0785	1.8.4.11
COG0785	1.8.4.12
COG0787	5.1.1.1
COG0788	3.5.1.10
COG0789	5.4.1.2
COG0790	3.1.3.86
COG0793	3.4.21.102
COG0794	5.3.1.13
COG0796	5.1.1.3
COG0798	1.20.4.1
COG0799	2.7.7.18
COG0801	2.7.6.3
COG0802	5.1.1.1
COG0804	3.5.1.5
COG0807	3.5.4.25
COG0809	2.4.99.17
COG0812	1.3.1.98
COG0813	2.4.2.1
COG0814	3.2.1.84
COG0815	2.3.1.-
COG0816	3.1.-.-
COG0817	3.1.22.4
COG0818	2.7.1.107
COG0819	3.5.99.2
COG0820	2.1.1.192
COG0821	1.17.7.1
COG0822	2.8.1.-
COG0823	4.2.2.6
